fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.1864,0.01032,0.00903,0.95945,0.00046,3.33728,0.59812,6.58783,0.41561,1.29661,0.0121,0.63814,0.53342,0.0,0.09402,0.36011,0.0,0.0,0.0,0.44316,0.0,1.0,0.0,0.0
0.49905,0.01096,0.00892,0.89707,0.00039,3.23291,0.8089,7.31106,0.53944,1.26565,0.01184,0.59593,0.43273,0.0,0.08905,0.32368,0.0,0.0,0.0,0.35436,0.0,0.99211,0.0,0.0
0.19718,0.0105,0.00967,0.86952,0.00044,3.32949,0.70069,6.84826,0.53944,1.24731,0.0132,0.54172,0.44385,0.0,0.06888,0.3664,0.0,0.0,0.0,0.36817,0.0,0.84085,0.0,0.0
0.32335,0.0105,0.00892,0.85903,0.00039,3.5257,0.77578,7.36869,0.57581,1.05283,0.0125,0.54743,0.43273,0.0,0.08905,0.37181,0.0,0.0,0.0,0.38708,0.0,1.0,0.0,0.0
0.22641,0.00989,0.00733,0.86748,0.00045,3.26103,0.76938,7.32065,0.45946,1.26565,0.01071,0.59593,0.42392,0.0,0.07479,0.3057,0.0,0.0,0.0,0.35958,0.0,0.89843,0.0,0.0
0.43494,0.01055,0.00943,0.86952,0.00041,3.35268,0.8227,6.83879,0.54569,1.24847,0.01205,0.61035,0.41476,0.0,0.08594,0.36151,0.0,0.0,0.0,0.34844,0.0,0.9984,0.0,0.0
0.29468,0.01175,0.00875,0.91795,0.0004,3.32949,0.83033,7.15478,0.58768,0.68452,0.01205,0.6143,0.41146,0.0,0.08324,0.38373,0.0,0.0,0.0,0.39715,0.0,1.0,0.0,0.0
0.30745,0.01094,0.00896,0.90349,0.00039,3.12769,0.8089,7.31324,0.54682,1.26565,0.01184,0.57747,0.43615,0.0,0.09022,0.33613,0.0,0.0,0.0,0.36122,0.0,1.0,0.0,0.0
0.42825,0.01078,0.00892,0.89297,0.00039,3.25401,0.82866,7.35475,0.54178,1.26565,0.01188,0.61388,0.4327,0.0,0.08757,0.32544,0.0,0.0,0.0,0.35926,0.0,0.99211,0.0,0.0
0.21637,0.01027,0.00944,0.84658,0.0003,3.32949,0.80117,7.02656,0.55313,1.24731,0.01176,0.40454,0.46838,0.0,0.0649,0.4959,0.0,0.0,0.0,0.24322,0.0,1.0,0.0,0.0
0.4588,0.00896,0.01006,0.98,0.00044,3.18609,0.80117,7.22612,0.48239,1.0603,0.01496,0.57951,0.40626,0.0,0.10014,0.31958,0.0,0.0,0.0,0.25512,0.0,0.99211,0.0,0.0
0.33782,0.00992,0.00959,0.8787,0.00039,3.24106,0.72707,5.49408,0.53944,1.18426,0.01236,0.57701,0.44548,0.0,0.08575,0.387,0.0,0.0,0.0,0.35436,0.0,0.99131,0.0,0.0
0.37657,0.00896,0.00974,0.98,0.00043,3.18609,0.80205,7.22612,0.50702,0.99519,0.01496,0.59766,0.40626,0.0,0.10014,0.33064,0.0,0.0,0.0,0.26289,0.0,0.94926,0.0,0.0
0.4606,0.00997,0.00877,0.88508,0.00039,3.32949,0.6996,6.61155,0.52734,1.23839,0.01194,0.62937,0.41146,0.0,0.0847,0.39422,0.0,0.0,0.0,0.35436,0.0,0.96967,0.0,0.0
0.0268,0.01096,0.00892,0.88834,0.00039,3.33531,0.82751,4.7773,0.47777,1.08987,0.01086,0.56644,0.36059,0.0,0.08648,0.30419,0.0,0.0,0.0,0.3772,0.0,0.82031,0.0,0.0
0.43557,0.01067,0.00876,0.86952,0.0004,3.23529,0.83141,6.65866,0.48916,1.3258,0.01108,0.6143,0.41146,0.0,0.09415,0.36538,0.0,0.0,0.0,0.39798,0.0,0.98556,0.0,0.0
0.41494,0.00934,0.00787,0.86446,0.00034,2.90972,0.78707,8.38195,0.55142,1.24731,0.01195,0.59832,0.35539,0.0,0.09255,0.36538,0.0,0.0,0.0,0.39888,0.0,1.0,0.0,0.0
0.1588,0.00996,0.00877,0.88508,0.00039,2.6434,0.60325,5.98566,0.52734,1.36683,0.013,0.62937,0.36433,0.0,0.10163,0.36228,0.0,0.0,0.0,0.43298,0.0,0.87818,0.0,0.0
0.22407,0.01096,0.01119,0.88924,0.0004,3.1504,0.95,7.16909,0.53944,1.26565,0.01217,0.47076,0.4479,0.0,0.09433,0.36349,0.0,0.0,0.0,0.41333,0.0,0.97156,0.0,0.0
0.42793,0.01074,0.00917,0.87006,0.0004,3.21421,0.8089,7.31106,0.53944,1.42412,0.01209,0.53241,0.39252,0.0,0.08719,0.34417,0.0,0.0,0.0,0.31948,0.0,0.99211,0.0,0.0
0.35986,0.01132,0.00892,0.89707,0.0004,3.47964,0.88133,7.41738,0.50324,1.36006,0.0102,0.60067,0.47491,0.0,0.08905,0.31852,0.0,0.0,0.0,0.3399,0.0,0.98398,0.0,0.0
0.31211,0.01203,0.01208,0.90827,0.00039,2.96494,0.6996,7.80262,0.54019,1.10769,0.01327,0.54275,0.41052,0.0,0.06814,0.46008,0.0,0.0,0.0,0.44402,0.0,0.87824,0.0,0.0
0.25252,0.01098,0.00892,0.87328,0.00037,3.15489,0.73646,6.84665,0.59054,1.16988,0.01164,0.59593,0.37335,0.0,0.08451,0.29994,0.0,0.0,0.0,0.31264,0.0,0.97223,0.0,0.0
0.1637,0.01042,0.00905,0.87372,0.00041,3.46343,0.80325,7.14977,0.54882,1.28034,0.01223,0.6143,0.41146,0.0,0.08747,0.36453,0.0,0.0,0.0,0.34853,0.0,0.92345,0.0,0.0
0.26767,0.01113,0.0092,0.89707,0.00038,2.94922,0.85382,7.15591,0.50899,1.27103,0.01282,0.59593,0.43616,0.0,0.08076,0.32368,0.0,0.0,0.0,0.32503,0.0,0.97668,0.0,0.0
0.37021,0.01054,0.0093,0.86952,0.0004,3.28447,0.80145,6.81932,0.54284,1.25741,0.01202,0.60628,0.42604,0.0,0.08666,0.36178,0.0,0.0,0.0,0.35436,0.0,1.0,0.0,0.0
0.41465,0.01052,0.0093,0.83232,0.00043,4.00176,0.95,8.25337,0.42289,1.61407,0.01236,0.66208,0.41099,0.0,0.08311,0.21792,0.0,0.0,0.0,0.32209,0.0,0.82544,0.0,0.0
0.47252,0.01122,0.0093,0.87783,0.00038,3.32031,0.89983,7.99084,0.51277,1.43105,0.01388,0.56271,0.45262,0.0,0.08594,0.28933,0.0,0.0,0.0,0.40534,0.0,0.99211,0.0,0.0
0.36516,0.0081,0.00892,0.9078,0.00037,1.95097,0.76706,7.31106,0.53944,1.18563,0.01184,0.61545,0.53983,0.0,0.11311,0.32368,0.0,0.0,0.0,0.40188,0.0,1.0,0.0,0.0
0.30471,0.01178,0.0078,0.88943,0.0004,3.10536,0.84069,7.31106,0.53944,1.22305,0.01352,0.64456,0.39758,0.0,0.09233,0.32368,0.0,0.0,0.0,0.36738,0.0,1.0,0.0,0.0
0.14189,0.01155,0.00907,0.84623,0.00028,2.96293,0.80117,7.32535,0.53944,1.4375,0.01373,0.57635,0.41146,0.0,0.08055,0.43381,0.0,0.0,0.0,0.41151,0.0,0.99211,0.0,0.0
0.18599,0.00899,0.00972,0.87738,0.00045,3.23291,0.8089,8.0472,0.53944,1.33503,0.01184,0.58026,0.43273,0.0,0.08905,0.23395,0.0,0.0,0.0,0.38085,0.0,0.99211,0.0,0.0
0.37415,0.01111,0.00976,0.89707,0.00037,2.7432,0.57915,7.92075,0.53944,1.43298,0.01286,0.59593,0.59597,0.0,0.06477,0.27809,0.0,0.0,0.0,0.36766,0.0,1.0,0.0,0.0
0.36626,0.01096,0.00924,0.89787,0.00039,3.23291,0.83932,7.37589,0.55409,1.26565,0.01158,0.57685,0.45428,0.0,0.08671,0.33179,0.0,0.0,0.0,0.34926,0.0,1.0,0.0,0.0
0.41516,0.01112,0.00845,0.87842,0.0004,3.41556,0.81847,7.17636,0.53834,1.26565,0.01169,0.56299,0.43273,0.0,0.08905,0.34532,0.0,0.0,0.0,0.36356,0.0,0.99211,0.0,0.0
0.47558,0.0108,0.0093,0.86906,0.0004,3.26123,0.83325,6.84826,0.52962,1.26127,0.01205,0.62061,0.42592,0.0,0.08631,0.36538,0.0,0.0,0.0,0.346,0.0,0.94751,0.0,0.0
0.51261,0.01212,0.01169,0.84286,0.0004,3.11603,0.69535,6.53301,0.59504,1.29391,0.01231,0.6143,0.40401,0.0,0.08594,0.37808,0.0,0.0,0.0,0.43225,0.0,0.93858,0.0,0.0
0.27909,0.01218,0.0093,0.86952,0.00043,3.65188,0.7574,7.48892,0.5434,1.07062,0.01246,0.6143,0.32481,0.0,0.08594,0.43081,0.0,0.0,0.0,0.41425,0.0,0.96882,0.0,0.0
0.32148,0.01026,0.01018,0.92082,0.00039,2.628,0.80638,7.10336,0.53667,1.12615,0.01205,0.58152,0.41146,0.0,0.10063,0.34551,0.0,0.0,0.0,0.40969,0.0,1.0,0.0,0.0
0.48197,0.01054,0.01275,0.8233,0.0004,2.7724,0.69535,6.53301,0.59069,1.13336,0.01387,0.54125,0.37215,0.0,0.08467,0.41619,0.0,0.0,0.0,0.35492,0.0,0.93858,0.0,0.0
0.32098,0.01096,0.00892,0.89707,0.00039,3.50793,0.8089,7.41003,0.53944,1.16687,0.01056,0.57506,0.43273,0.0,0.09477,0.30823,0.0,0.0,0.0,0.34089,0.0,1.0,0.0,0.0
0.41889,0.00998,0.0129,0.79428,0.00049,2.30805,0.69535,7.00953,0.67252,1.28717,0.01609,0.56908,0.37316,0.0,0.08686,0.45386,0.0,0.0,0.0,0.31164,0.0,0.9734,0.0,0.0
0.27031,0.01098,0.00894,0.89643,0.00039,3.23397,0.80861,7.32788,0.54056,1.26565,0.01185,0.59587,0.43199,0.0,0.08912,0.32443,0.0,0.0,0.0,0.35413,0.0,0.99396,0.0,0.0
0.33616,0.01212,0.01119,0.84286,0.0004,3.11603,0.69535,5.75444,0.56272,1.32919,0.01246,0.6143,0.40401,0.0,0.08692,0.39113,0.0,0.0,0.0,0.388,0.0,0.8234,0.0,0.0
0.44395,0.01212,0.01087,0.83557,0.00044,3.25528,0.6232,6.83711,0.60902,1.46657,0.01245,0.59219,0.44813,0.0,0.0859,0.39706,0.0,0.0,0.0,0.43225,0.0,0.93972,0.0,0.0
0.512,0.01212,0.01169,0.78674,0.0003,2.9977,0.69535,5.03313,0.3662,1.56073,0.011,0.54417,0.40401,0.0,0.07311,0.37808,0.0,0.0,0.0,0.43225,0.0,0.88523,0.0,0.0
0.27928,0.01211,0.01167,0.78674,0.0003,2.99542,0.69535,5.03352,0.3662,1.5624,0.01102,0.54356,0.40376,0.0,0.07316,0.37808,0.0,0.0,0.0,0.43314,0.0,0.88454,0.0,0.0
0.32159,0.01194,0.00841,0.89707,0.00035,3.3222,0.8089,8.72313,0.4216,1.36891,0.01286,0.59593,0.51943,0.0,0.08905,0.38053,0.0,0.0,0.0,0.32929,0.0,0.90021,0.0,0.0
0.42023,0.01233,0.01093,0.8282,0.0004,3.11603,0.61827,6.60862,0.52301,1.29391,0.01276,0.65956,0.38843,0.0,0.08543,0.36339,0.0,0.0,0.0,0.40565,0.0,0.95802,0.0,0.0
0.4301,0.01212,0.01027,0.81394,0.00023,2.9977,0.67768,5.46772,0.36955,1.11985,0.011,0.57065,0.46771,0.0,0.0623,0.31848,0.0,0.0,0.0,0.39047,0.0,0.76517,0.0,0.0
0.34038,0.00951,0.00814,0.84283,0.00037,3.5577,0.59979,6.16942,0.59504,1.33875,0.00936,0.61306,0.55275,0.0,0.11205,0.40286,0.0,0.0,0.0,0.3464,0.0,0.79479,0.0,0.0
0.48231,0.00965,0.01169,0.94772,0.00047,4.00046,0.74883,7.53752,0.61955,1.29391,0.01186,0.63125,0.35384,0.0,0.08594,0.37808,0.0,0.0,0.0,0.53293,0.0,0.89344,0.0,0.0
0.50215,0.01089,0.00948,0.85406,0.00042,3.55109,0.80117,6.74542,0.53944,1.29997,0.01205,0.66207,0.38065,0.0,0.08324,0.38393,0.0,0.0,0.0,0.36078,0.0,0.97117,0.0,0.0
